Id;Measure;Perioden;Value;StringValue;ValueAttribute
1444;M000238;2018MM08;2,1;;None
1445;M000239;2018MM08;1,7;;None
1446;M000238;2018MM09;1,9;;None
1447;M000239;2018MM09;1,5;;None
1448;M000238;2018MM10;2,1;;None
1449;M000239;2018MM10;1,7;;None
1450;M000238;2018MM11;2;;None
1451;M000239;2018MM11;1,6;;None
1452;M000238;2018MM12;2;;None
1453;M000239;2018MM12;1,5;;None
1454;M000238;2018JJ00;1,7;;None
1455;M000239;2018JJ00;1,4;;None
1456;M000238;2019MM01;2,2;;None
1457;M000239;2019MM01;1;;None
1458;M000238;2019MM02;2,6;;None
1459;M000239;2019MM02;1,4;;None
1460;M000238;2019MM03;2,8;;None
1461;M000239;2019MM03;1,7;;None
1462;M000238;2019MM04;2,9;;None
1463;M000239;2019MM04;1,8;;None
1464;M000238;2019MM05;2,4;;None
1465;M000239;2019MM05;1,4;;None
1466;M000238;2019MM06;2,7;;None
1467;M000239;2019MM06;1,6;;None
1468;M000238;2019MM07;2,5;;None
1469;M000239;2019MM07;1,5;;None
1470;M000238;2019MM08;2,8;;None
1471;M000239;2019MM08;1,8;;None
1472;M000238;2019MM09;2,6;;None
1473;M000239;2019MM09;1,6;;None
1474;M000238;2019MM10;2,7;;None
1475;M000239;2019MM10;1,7;;None
1476;M000238;2019MM11;2,6;;None
1477;M000239;2019MM11;1,6;;None
1478;M000238;2019MM12;2,7;;None
1479;M000239;2019MM12;1,7;;None
1480;M000238;2019JJ00;2,6;;None
1481;M000239;2019JJ00;1,6;;None
1482;M000238;2020MM01;1,8;;None
1483;M000239;2020MM01;2;;None
1484;M000238;2020MM02;1,6;;None
1485;M000239;2020MM02;1,7;;None
1486;M000238;2020MM03;1,4;;None
1487;M000239;2020MM03;1,5;;None
1488;M000238;2020MM04;1,2;;None
1489;M000239;2020MM04;1,3;;None
1490;M000238;2020MM05;1,2;;None
1491;M000239;2020MM05;1,1;;None
1492;M000238;2020MM06;1,6;;None
1493;M000239;2020MM06;1,4;;None
1494;M000238;2020MM07;1,7;;None
1495;M000239;2020MM07;1,6;;None
1496;M000238;2020MM08;0,7;;None
1497;M000239;2020MM08;0,6;;None
1498;M000238;2020MM09;1,1;;None
1499;M000239;2020MM09;1;;None
1500;M000238;2020MM10;1,2;;None
1501;M000239;2020MM10;1,1;;None
1502;M000238;2020MM11;0,8;;None
1503;M000239;2020MM11;0,7;;None
1504;M000238;2020MM12;1;;None
1505;M000239;2020MM12;0,9;;None
1506;M000238;2020JJ00;1,3;;None
1507;M000239;2020JJ00;1,2;;None
1508;M000238;2021MM01;1,6;;None
1509;M000239;2021MM01;1,2;;None
1510;M000238;2021MM02;1,8;;None
1511;M000239;2021MM02;1,5;;None
1512;M000238;2021MM03;1,9;;None
1513;M000239;2021MM03;1,5;;None
1514;M000238;2021MM04;1,9;;None
1515;M000239;2021MM04;1,5;;None
1516;M000238;2021MM05;2,1;;None
1517;M000239;2021MM05;1,9;;None
1518;M000238;2021MM06;2;;None
1519;M000239;2021MM06;1,9;;None
1520;M000238;2021MM07;1,4;;None
1521;M000239;2021MM07;1,3;;None
1522;M000238;2021MM08;2,4;;None
1523;M000239;2021MM08;2,3;;None
1524;M000238;2021MM09;2,7;;None
1525;M000239;2021MM09;2,6;;None
1526;M000238;2021MM10;3,4;;None
1527;M000239;2021MM10;3,3;;None
1528;M000238;2021MM11;5,2;;None
1529;M000239;2021MM11;5;;None
1530;M000238;2021MM12;5,7;;None
1531;M000239;2021MM12;5,6;;None
1532;M000238;2021JJ00;2,7;;None
1533;M000239;2021JJ00;2,5;;None
1534;M000238;2022MM01;6,4;;None
1535;M000239;2022MM01;7,4;;None
1536;M000238;2022MM02;6,2;;None
1537;M000239;2022MM02;7,1;;None
1538;M000238;2022MM03;9,7;;None
1539;M000239;2022MM03;10,7;;None
1540;M000238;2022MM04;9,6;;None
1541;M000239;2022MM04;10,9;;None
1542;M000238;2022MM05;8,8;;None
1543;M000239;2022MM05;10,1;;None
1544;M000238;2022MM06;8,6;;None
1545;M000239;2022MM06;9,9;;None
1546;M000238;2022MM07;10,3;;None
1547;M000239;2022MM07;12,4;;None
1548;M000238;2022MM08;12;;None
1549;M000239;2022MM08;14,3;;None
1550;M000238;2022MM09;14,5;;None
1551;M000239;2022MM09;17,2;;None
1552;M000238;2022MM10;14,3;;None
1553;M000239;2022MM10;16,9;;None
1554;M000238;2022MM11;9,9;;None
1555;M000239;2022MM11;12,1;;None
1556;M000238;2022MM12;9,6;;None
1557;M000239;2022MM12;11,8;;None
1558;M000238;2022JJ00;10;;None
1559;M000239;2022JJ00;11,8;;None
1560;M000238;2023MM01;7,6;;None
1561;M000239;2023MM01;7,6;;None
1562;M000238;2023MM02;8;;None
1563;M000239;2023MM02;8;;None
1564;M000238;2023MM03;4,4;;None
1565;M000239;2023MM03;4,5;;None
1566;M000238;2023MM04;5,2;;None
1567;M000239;2023MM04;5;;None
1568;M000238;2023MM05;6,1;;None
1569;M000239;2023MM05;5,8;;None
1570;M000238;2023MM06;5,7;;None
1571;M000239;2023MM06;5,4;;None
1572;M000238;2023MM07;4,6;;None
1573;M000239;2023MM07;3,3;;None
1574;M000238;2023MM08;3;;None
1575;M000239;2023MM08;1,6;;None
1576;M000238;2023MM09;0,2;;None
1577;M000239;2023MM09;-1,4;;None
1578;M000238;2023MM10;-0,4;;None
1579;M000239;2023MM10;-2;;None
1580;M000238;2023MM11;1,6;;None
1581;M000239;2023MM11;0,2;;None
1582;M000238;2023MM12;1,2;;None
1583;M000239;2023MM12;-0,2;;None
1584;M000238;2023JJ00;3,8;;None
1585;M000239;2023JJ00;3;;None
1586;M000238;2024MM01;3,2;;None
1587;M000239;2024MM01;2,4;;None
1588;M000238;2024MM02;2,8;;None
1589;M000239;2024MM02;2,1;;None
1590;M000238;2024MM03;3,1;;None
1591;M000239;2024MM03;2,3;;None
1592;M000238;2024MM04;2,7;;None
1593;M000239;2024MM04;1,9;;None
1594;M000238;2024MM05;2,7;;None
1595;M000239;2024MM05;1,9;;None
1596;M000238;2024MM06;3,2;;None
1597;M000239;2024MM06;2,1;;None
1598;M000238;2024MM07;3,7;;None
1599;M000239;2024MM07;2,7;;None
1600;M000238;2024MM08;3,6;;None
1601;M000239;2024MM08;2,6;;None
1602;M000238;2024MM09;3,5;;None
1603;M000239;2024MM09;2,5;;None
