Identifier;DimensionGroupId;DimensionId;Index;Title;Description;Status
2004KW04;0;Perioden;49;2004 4e kwartaal;;Definitief
2004JJ00;1;Perioden;50;2004;;Definitief
2005KW01;0;Perioden;51;2005 1e kwartaal;;Definitief
2005KW02;0;Perioden;52;2005 2e kwartaal;;Definitief
2005KW03;0;Perioden;53;2005 3e kwartaal;;Definitief
2005KW04;0;Perioden;54;2005 4e kwartaal;;Definitief
2005JJ00;1;Perioden;55;2005;;Definitief
2006KW01;0;Perioden;56;2006 1e kwartaal;;Definitief
2006KW02;0;Perioden;57;2006 2e kwartaal;;Definitief
2006KW03;0;Perioden;58;2006 3e kwartaal;;Definitief
2006KW04;0;Perioden;59;2006 4e kwartaal;;Definitief
